"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","270","400/404 | com máscara (formato inválido)","","Wed Sep 24 02:06:34 BRT 2025","failed","Wed Sep 24 02:06:35 BRT 2025","","CNPJ - BrasilAPI","",""
"","145","200 | contrato válido","","Wed Sep 24 02:14:41 BRT 2025","passed","Wed Sep 24 02:14:41 BRT 2025","","CNPJ - BrasilAPI","",""
"","","Oops...we found an error preparing this test file: consultaCnpj.cy.js","","","broken","","","consultaCnpj.cy.js","",""
"","268","404/400 | inexistente (14 dígitos, mas não cadastrado)","","Wed Sep 24 01:44:55 BRT 2025","failed","Wed Sep 24 01:44:55 BRT 2025","","CNPJ - BrasilAPI","",""
"","765","404 | inexistente","","Wed Sep 24 01:35:16 BRT 2025","failed","Wed Sep 24 01:35:17 BRT 2025","","CNPJ - BrasilAPI","",""
"","47","404/400 | com máscara (formato inválido)","","Wed Sep 24 02:14:41 BRT 2025","passed","Wed Sep 24 02:14:41 BRT 2025","","CNPJ - BrasilAPI","",""
"","120","retorna 200 para CNPJ válido","","Tue Sep 23 23:58:13 BRT 2025","passed","Tue Sep 23 23:58:14 BRT 2025","","Smoke API - BrasilAPI CNPJ","",""
"","135","200 | contrato válido e <1200ms","","Wed Sep 24 02:14:59 BRT 2025","passed","Wed Sep 24 02:14:59 BRT 2025","","CEP - BrasilAPI","",""
"","55","200 | CEP com máscara","","Wed Sep 24 02:14:59 BRT 2025","passed","Wed Sep 24 02:14:59 BRT 2025","","CEP - BrasilAPI","",""
"","52","404 | CEP inexistente","","Wed Sep 24 02:14:59 BRT 2025","passed","Wed Sep 24 02:14:59 BRT 2025","","CEP - BrasilAPI","",""
"","60","404/400 | CNPJ numérico inválido (zeros)","","Wed Sep 24 02:14:41 BRT 2025","passed","Wed Sep 24 02:14:41 BRT 2025","","CNPJ - BrasilAPI","",""
"","165","200 | com máscara","","Wed Sep 24 01:35:18 BRT 2025","failed","Wed Sep 24 01:35:18 BRT 2025","","CNPJ - BrasilAPI","",""
"","226","400/404 | formato inválido","","Wed Sep 24 02:14:59 BRT 2025","passed","Wed Sep 24 02:15:00 BRT 2025","","CEP - BrasilAPI","",""
"","373","404/400 | formato inválido (tamanho curto)","","Wed Sep 24 02:14:41 BRT 2025","passed","Wed Sep 24 02:14:42 BRT 2025","","CNPJ - BrasilAPI","",""
"","176","400 | com máscara (formato inválido)","","Wed Sep 24 01:44:55 BRT 2025","failed","Wed Sep 24 01:44:56 BRT 2025","","CNPJ - BrasilAPI","",""
"","206","404/400 | inexistente (14 dígitos, pode variar por origem)","","Wed Sep 24 02:06:35 BRT 2025","failed","Wed Sep 24 02:06:36 BRT 2025","","CNPJ - BrasilAPI","",""
