"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","119","200 | contrato válido","","Wed Sep 24 05:20:18 UTC 2025","passed","Wed Sep 24 05:20:19 UTC 2025","","CNPJ - BrasilAPI","",""
"","176","400 | com máscara (formato inválido)","","Wed Sep 24 04:44:55 UTC 2025","failed","Wed Sep 24 04:44:56 UTC 2025","","CNPJ - BrasilAPI","",""
"","2160","200 | CEP com máscara","","Wed Sep 24 05:19:52 UTC 2025","passed","Wed Sep 24 05:19:55 UTC 2025","","CEP - BrasilAPI","",""
"","155","400/404 | formato inválido","","Wed Sep 24 05:20:16 UTC 2025","passed","Wed Sep 24 05:20:16 UTC 2025","","CEP - BrasilAPI","",""
"","270","400/404 | com máscara (formato inválido)","","Wed Sep 24 05:06:34 UTC 2025","failed","Wed Sep 24 05:06:35 UTC 2025","","CNPJ - BrasilAPI","",""
"","1017","404 | CEP inexistente","","Wed Sep 24 05:20:15 UTC 2025","passed","Wed Sep 24 05:20:16 UTC 2025","","CEP - BrasilAPI","",""
"","765","404 | inexistente","","Wed Sep 24 04:35:16 UTC 2025","failed","Wed Sep 24 04:35:17 UTC 2025","","CNPJ - BrasilAPI","",""
"","111","200 | contrato válido e <1200ms","","Wed Sep 24 05:19:52 UTC 2025","passed","Wed Sep 24 05:19:52 UTC 2025","","CEP - BrasilAPI","",""
"","292","404/400 | formato inválido (tamanho curto)","","Wed Sep 24 05:20:19 UTC 2025","passed","Wed Sep 24 05:20:19 UTC 2025","","CNPJ - BrasilAPI","",""
"","120","retorna 200 para CNPJ válido","","Wed Sep 24 02:58:13 UTC 2025","passed","Wed Sep 24 02:58:14 UTC 2025","","Smoke API - BrasilAPI CNPJ","",""
"","91","404/400 | CNPJ numérico inválido (zeros)","","Wed Sep 24 05:20:19 UTC 2025","passed","Wed Sep 24 05:20:19 UTC 2025","","CNPJ - BrasilAPI","",""
"","","Oops...we found an error preparing this test file: consultaCnpj.cy.js","","","broken","","","consultaCnpj.cy.js","",""
"","116","404/400 | com máscara (formato inválido)","","Wed Sep 24 05:20:19 UTC 2025","passed","Wed Sep 24 05:20:19 UTC 2025","","CNPJ - BrasilAPI","",""
"","165","200 | com máscara","","Wed Sep 24 04:35:18 UTC 2025","failed","Wed Sep 24 04:35:18 UTC 2025","","CNPJ - BrasilAPI","",""
"","268","404/400 | inexistente (14 dígitos, mas não cadastrado)","","Wed Sep 24 04:44:55 UTC 2025","failed","Wed Sep 24 04:44:55 UTC 2025","","CNPJ - BrasilAPI","",""
"","206","404/400 | inexistente (14 dígitos, pode variar por origem)","","Wed Sep 24 05:06:35 UTC 2025","failed","Wed Sep 24 05:06:36 UTC 2025","","CNPJ - BrasilAPI","",""
